strategy,universe,period,regime,n_windows,n_effective,p_gt_30,p_gt_40,p_gt_45,p_gt_50,p_gt_60,q50,q90,q95,q99,cvar_05,ruin_10,ruin_20,ruin_25,ruin_30,capture_30,capture_40,capture_45,capture_50,capture_60
Executable_Oracle,deployment,2018-2026_FULL,ALL,2086,57,0.4103547459252157,0.24928092042186,0.2027804410354746,0.1768935762224353,0.11984659635666348,0.26277694376669847,0.6567701485578654,0.9058351979530683,1.572684484913678,,,,,,,,,,
P27,deployment,2018-2026_FULL,ALL,2086,57,0.08772770853307767,0.06519654841802493,0.053691275167785234,0.050335570469798654,0.040268456375838924,0.0,0.2597595442147197,0.501723872086532,1.3714941393271871,-0.2628486150774085,0.10594439117929051,0.031639501438159155,0.02444870565675935,0.018696069031639503,0.21144859813084113,0.24423076923076922,0.24349881796690306,0.25745257452574527,0.296
B1,deployment,2018-2026_FULL,ALL,2086,57,0.04218600191754554,0.03595397890699904,0.03211888782358581,0.030680728667305847,0.019175455417066157,-0.030718045352991125,0.14678730903172438,0.23412600004154718,0.7201724690517218,-0.23335398064494986,0.24304889741131352,0.0364333652924257,0.013902205177372963,0.006232023010546501,0.08878504672897196,0.125,0.1347517730496454,0.14634146341463414,0.132
P38,deployment,2018-2026_FULL,ALL,2086,57,0.02588686481303931,0.017737296260786194,0.013422818791946308,0.009587727708533078,0.0,0.0,0.017228380483553574,0.06554308042320572,0.4909467855758518,-0.14498721817790478,0.01725790987535954,0.008149568552253116,0.003355704697986577,0.003355704697986577,0.05841121495327103,0.06538461538461539,0.061465721040189124,0.05420054200542006,0.0
P27,deployment,2018,ALL,244,6,0.0,0.0,0.0,0.0,0.0,0.0,0.027515983606462794,0.05402886997517003,0.07306807324211799,-0.04665910142896684,0.0,0.0,0.0,0.0,,,,,
B1,deployment,2018,ALL,244,6,0.0,0.0,0.0,0.0,0.0,-0.10890132659692323,0.044100047955518654,0.05749757782444161,0.09397931485560124,-0.23187279808864134,0.5081967213114754,0.06967213114754098,0.012295081967213115,0.0,,,,,
P38,deployment,2018,ALL,244,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Oracle,deployment,2018,ALL,244,6,0.08196721311475409,0.012295081967213115,0.0,0.0,0.0,0.15599686603745644,0.2755983601966869,0.33565217086266336,0.40055549707259297,-0.2053854239453086,0.012295081967213115,0.012295081967213115,0.012295081967213115,0.012295081967213115,,,,,
P27,deployment,2019,ALL,246,6,0.0,0.0,0.0,0.0,0.0,-0.0003708084510565071,0.10540006767903165,0.15630160816947491,0.25813184111448456,-0.1264551908871361,0.052845528455284556,0.0,0.0,0.0,,,0.0,,
B1,deployment,2019,ALL,246,6,0.0,0.0,0.0,0.0,0.0,-0.00380298093938047,0.14415159811314807,0.17439513581771252,0.2120813003234622,-0.12076015150961772,0.07317073170731707,0.0,0.0,0.0,,,,,
P38,deployment,2019,ALL,246,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Oracle,deployment,2019,ALL,246,6,0.0975609756097561,0.02032520325203252,0.0040650406504065045,0.0,0.0,0.1859063049342612,0.2953430012610341,0.3384214478244128,0.40718681048069344,0.08092412884792734,0.0,0.0,0.0,0.0,,,,,
P27,deployment,2020,ALL,248,6,0.125,0.056451612903225805,0.024193548387096774,0.016129032258064516,0.0,0.0538130353265497,0.33234986856862575,0.4067228679840808,0.5591894160420707,-0.30418852230536836,0.16129032258064516,0.10080645161290322,0.07258064516129033,0.036290322580645164,,,0.05128205128205128,0.04040404040404041,
B1,deployment,2020,ALL,248,6,0.14112903225806453,0.11693548387096774,0.0967741935483871,0.09274193548387097,0.06048387096774194,0.06398294555421004,0.4487827234015042,0.662288383254974,0.8077513603323808,-0.15213795562168766,0.08870967741935484,0.0,0.0,0.0,,,,,
P38,deployment,2020,ALL,248,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Oracle,deployment,2020,ALL,248,6,0.7137096774193549,0.5766129032258065,0.4717741935483871,0.39919354838709675,0.24193548387096775,0.4403581746498828,0.7918462398575832,0.9250960447040638,1.0561159428479936,0.12549093540556122,0.0,0.0,0.0,0.0,,,,,
P27,deployment,2021,ALL,248,6,0.0,0.0,0.0,0.0,0.0,-0.01549517462599129,0.03852426027421724,0.05538355923430313,0.06503448104799561,-0.11764290051797505,0.05241935483870968,0.0,0.0,0.0,,,0.0,0.0,
B1,deployment,2021,ALL,248,6,0.0,0.0,0.0,0.0,0.0,-0.047908322596988503,0.022505628591409105,0.052623579520478116,0.09450235504546288,-0.16849330748560273,0.14516129032258066,0.004032258064516129,0.0,0.0,,,,,
P38,deployment,2021,ALL,248,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Oracle,deployment,2021,ALL,248,6,0.18951612903225806,0.06451612903225806,0.024193548387096774,0.008064516129032258,0.0,0.22023352668063423,0.36904440397602256,0.40882530853253735,0.4754210712478442,0.10080964011047544,0.0,0.0,0.0,0.0,,,,,
P27,deployment,2022,ALL,246,6,0.0,0.0,0.0,0.0,0.0,0.0,0.005238001643440655,0.10310508471228219,0.17269135530542878,-0.09992578157360422,0.012195121951219513,0.0,0.0,0.0,,,0.0,0.0,
B1,deployment,2022,ALL,246,6,0.0,0.0,0.0,0.0,0.0,-0.03380768220738675,0.08577938958597449,0.11806669850060834,0.16451235901812175,-0.1881263605454048,0.15853658536585366,0.012195121951219513,0.0,0.0,,,,,
P38,deployment,2022,ALL,246,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0005372386846819177,0.0023407221604067607,0.003102529374788998,-0.04925067373298028,0.0,0.0,0.0,0.0,,,,,
Oracle,deployment,2022,ALL,246,6,0.22357723577235772,0.0975609756097561,0.04878048780487805,0.028455284552845527,0.008130081300813009,0.23536363636363633,0.398017840293008,0.44455379463067357,0.5892404886117827,0.11687049034091668,0.0,0.0,0.0,0.0,,,,,
P27,deployment,2023,ALL,245,6,0.0,0.0,0.0,0.0,0.0,0.012190503182437813,0.17734509959142486,0.19944213592992963,0.2524486034592007,-0.15484329570829433,0.1306122448979592,0.004081632653061225,0.0,0.0,,,0.0,0.0,
B1,deployment,2023,ALL,245,6,0.0,0.0,0.0,0.0,0.0,-0.059180358291503775,0.04209663397297083,0.0738331370353251,0.12039456581143845,-0.1962176822552749,0.3795918367346939,0.012244897959183673,0.0,0.0,,,,,
P38,deployment,2023,ALL,245,6,0.0,0.0,0.0,0.0,0.0,0.000132806637534566,0.02882914760234696,0.029751091532677652,0.031263174884145956,-0.04375628050984551,0.0,0.0,0.0,0.0,,,,,
Oracle,deployment,2023,ALL,245,6,0.24489795918367346,0.08163265306122448,0.04897959183673469,0.04081632653061224,0.0163265306122449,0.23637373737373746,0.3936325787723269,0.43845881774136614,0.7002490066423762,0.10109544687253391,0.0,0.0,0.0,0.0,,,,,
P27,deployment,2024,ALL,244,6,0.00819672131147541,0.0,0.0,0.0,0.0,-0.005508099419109756,0.044484827814116015,0.19913014707167329,0.2807511379893218,-0.12505673286074773,0.1598360655737705,0.0,0.0,0.0,,,0.0,0.0,
B1,deployment,2024,ALL,244,6,0.0,0.0,0.0,0.0,0.0,-0.054191561471147634,0.07715312652735509,0.10950557176233504,0.1317150589778651,-0.18864101480502338,0.29918032786885246,0.00819672131147541,0.0,0.0,,,,,
P38,deployment,2024,ALL,244,6,0.0,0.0,0.0,0.0,0.0,-0.0005755761359527711,0.007853319565806352,0.01453353582368087,0.04164254128325621,-0.296712134295875,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.01639344262295082,,,,,
Oracle,deployment,2024,ALL,244,6,0.5942622950819673,0.20901639344262296,0.14754098360655737,0.10655737704918032,0.045081967213114756,0.3184847766779655,0.5057346484317558,0.5980433327192692,0.7369012681159419,0.16641555331518487,0.0,0.0,0.0,0.0,,,,,
P27,deployment,2025,ALL,242,6,0.34297520661157027,0.256198347107438,0.2066115702479339,0.19834710743801653,0.16115702479338842,0.11822545922855121,0.7093065943633969,1.0351564216189,1.2794350152561789,-0.337028840755393,0.2190082644628099,0.09090909090909091,0.06611570247933884,0.05785123966942149,,,0.3184713375796178,0.32413793103448274,
B1,deployment,2025,ALL,242,6,0.10743801652892562,0.08677685950413223,0.0743801652892562,0.0743801652892562,0.049586776859504134,0.02687289120931293,0.35740077068795356,0.596779445575231,0.8069971732998668,-0.21909463145790775,0.2066115702479339,0.05785123966942149,0.0,0.0,,,,,
P38,deployment,2025,ALL,242,6,0.0,0.0,0.0,0.0,0.0,0.006756669082228273,0.07148010708808739,0.09115981264839627,0.1163352291076665,-0.23189200219605918,0.02066115702479339,0.012396694214876033,0.008264462809917356,0.008264462809917356,,,,,
Oracle,deployment,2025,ALL,242,6,0.8884297520661157,0.7024793388429752,0.6487603305785123,0.5991735537190083,0.43388429752066116,0.5618463546268498,1.2294741468251857,1.3617547498754716,1.5559830726825936,0.17845064539619584,0.0,0.0,0.0,0.0,,,,,
P27,deployment,2026_YTD,ALL,123,3,0.5447154471544715,0.4878048780487805,0.45528455284552843,0.43089430894308944,0.36585365853658536,0.35508816372795643,1.6257669145136948,1.8163366543944324,2.2282309443423025,-0.5060506967908006,0.22764227642276422,0.14634146341463414,0.13821138211382114,0.13008130081300814,,,0.573170731707317,0.55,
B1,deployment,2026_YTD,ALL,123,3,0.21951219512195122,0.2032520325203252,0.2032520325203252,0.18699186991869918,0.10569105691056911,-0.005858025655155779,0.598480310658356,0.7229379595255405,0.8461176815787896,-0.3573963457009391,0.42276422764227645,0.2926829268292683,0.21138211382113822,0.10569105691056911,,,,,
P38,deployment,2026_YTD,ALL,123,3,0.43902439024390244,0.3008130081300813,0.22764227642276422,0.16260162601626016,0.0,0.11569369652935868,0.5251401951220995,0.5308053479742288,0.5323128884982509,-0.31317513697488736,0.21951219512195122,0.08130081300813008,0.008130081300813009,0.008130081300813009,,,,,
Oracle,deployment,2026_YTD,ALL,123,3,0.9186991869918699,0.7154471544715447,0.6666666666666666,0.6504065040650406,0.5528455284552846,0.6902106135986733,1.9327588896779728,2.3112308891028226,3.7309515609141117,0.24340523657343907,0.0,0.0,0.0,0.0,,,,,
P27,deployment,2018-2026_FULL,strong_risk_on,396,11,0.20202020202020202,0.1691919191919192,0.1414141414141414,0.13383838383838384,0.09595959595959595,0.06837672713684911,0.5717987957253676,0.8018857116632894,1.2044178132361085,-0.22464167534506885,0.09595959595959595,0.022727272727272728,0.015151515151515152,0.012626262626262626,,,,,
B1,deployment,2018-2026_FULL,strong_risk_on,396,11,0.05808080808080808,0.05555555555555555,0.05303030303030303,0.05303030303030303,0.04040404040404041,0.0009959393483043204,0.1943005086705575,0.5251910002640392,0.7469701802434345,-0.18741549249567926,0.1919191919191919,0.012626262626262626,0.0,0.0,,,,,
P38,deployment,2018-2026_FULL,strong_risk_on,396,11,0.0025252525252525255,0.0025252525252525255,0.0025252525252525255,0.0025252525252525255,0.0,0.0,0.05516941654549734,0.09170035070743482,0.11806593625321385,-0.194489224844107,0.022727272727272728,0.012626262626262626,0.005050505050505051,0.005050505050505051,,,,,
Oracle,deployment,2018-2026_FULL,strong_risk_on,396,11,0.6313131313131313,0.44696969696969696,0.3939393939393939,0.35353535353535354,0.26515151515151514,0.3650842272095376,1.0088683750601037,1.2700085933966532,1.5117993510557435,0.1265083122104877,0.0,0.0,0.0,0.0,,,,,
P27,deployment,2018-2026_FULL,weak_risk_on,631,17,0.05388272583201268,0.01584786053882726,0.006339144215530904,0.006339144215530904,0.004754358161648178,-0.012536203642433904,0.20137094799047067,0.3074428644961819,0.42189269495291876,-0.2987195595851681,0.19334389857369255,0.060221870047543584,0.044374009508716325,0.028526148969889066,,,,,
B1,deployment,2018-2026_FULL,weak_risk_on,631,17,0.039619651347068144,0.03803486529318542,0.03486529318541997,0.03486529318541997,0.022187004754358162,-0.04726296555200766,0.09900642284607142,0.15637884624146947,0.7527322764905675,-0.20153789865398275,0.25356576862123614,0.02694136291600634,0.0,0.0,,,,,
P38,deployment,2018-2026_FULL,weak_risk_on,631,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0050236747598266795,0.007867308702056985,0.041656317438143825,-0.16787232447588277,0.006339144215530904,0.006339144215530904,0.006339144215530904,0.006339144215530904,,,,,
Oracle,deployment,2018-2026_FULL,weak_risk_on,631,17,0.3486529318541997,0.16323296354992076,0.12044374009508717,0.09667194928684628,0.05229793977812995,0.24247826086956514,0.48765153538050743,0.6176482139834095,0.9424705769384045,0.10208184271848095,0.0,0.0,0.0,0.0,,,,,
P27,deployment,2018-2026_FULL,sideways,652,18,0.007668711656441718,0.006134969325153374,0.0015337423312883436,0.0,0.0,-0.0003362856697394177,0.02319135704931409,0.04156783182979768,0.23664004645906,-0.1325180091040283,0.05061349693251534,0.0015337423312883436,0.0,0.0,,,,,
B1,deployment,2018-2026_FULL,sideways,652,18,0.013803680981595092,0.009202453987730062,0.004601226993865031,0.003067484662576687,0.0,-0.019996367447834642,0.10295987133031421,0.16924886964124572,0.3702254894933699,-0.21073792454485696,0.24386503067484663,0.027607361963190184,0.004601226993865031,0.0,,,,,
P38,deployment,2018-2026_FULL,sideways,652,18,0.0,0.0,0.0,0.0,0.0,0.0,0.010106558167023504,0.0296555542762021,0.04939238691089202,-0.0389397159823403,0.0,0.0,0.0,0.0,,,,,
Oracle,deployment,2018-2026_FULL,sideways,652,18,0.18558282208588958,0.11042944785276074,0.07822085889570553,0.06134969325153374,0.03680981595092025,0.20975460656964828,0.40991824188334025,0.5341429639554197,0.729499636996083,-0.029669847593025614,0.004601226993865031,0.004601226993865031,0.004601226993865031,0.004601226993865031,,,,,
P27,deployment,2018-2026_FULL,risk_off,231,6,0.0,0.0,0.0,0.0,0.0,0.0,0.062320128971651456,0.07225000329740666,0.08288688060692917,-0.04947318694990588,0.0,0.0,0.0,0.0,,,,,
B1,deployment,2018-2026_FULL,risk_off,231,6,0.008658008658008658,0.0,0.0,0.0,0.0,-0.0420770475719452,0.08037288055418153,0.10597562415177678,0.23656442131872138,-0.18887367481589915,0.22510822510822512,0.004329004329004329,0.0,0.0,,,,,
P38,deployment,2018-2026_FULL,risk_off,231,6,0.0,0.0,0.0,0.0,0.0,0.0,0.005516445109728263,0.006937544563903608,0.008724212060354281,-0.016610131878749258,0.0,0.0,0.0,0.0,,,,,
Oracle,deployment,2018-2026_FULL,risk_off,231,6,0.4329004329004329,0.19913419913419914,0.12987012987012986,0.10822510822510822,0.03463203463203463,0.2783987621573828,0.5043304904051172,0.5902496726045428,0.7036588382579279,0.10722144893553615,0.0,0.0,0.0,0.0,,,,,
P27,deployment,2018-2026_FULL,high_vol_reversal,176,4,0.36363636363636365,0.3125,0.2897727272727273,0.2727272727272727,0.24431818181818182,0.05077929061548518,1.411268140028728,1.676358536886763,2.1938814048663713,-0.49268136969235216,0.1590909090909091,0.10227272727272728,0.09659090909090909,0.09090909090909091,,,,,
B1,deployment,2018-2026_FULL,high_vol_reversal,176,4,0.16477272727272727,0.13068181818181818,0.11931818181818182,0.10795454545454546,0.056818181818181816,0.021468959403982718,0.5019528382901647,0.6088547202337088,0.8408605454070017,-0.3500192271792525,0.3409090909090909,0.19886363636363635,0.14772727272727273,0.07386363636363637,,,,,
P38,deployment,2018-2026_FULL,high_vol_reversal,176,4,0.30113636363636365,0.20454545454545456,0.1534090909090909,0.10795454545454546,0.0,0.0,0.5086733014254906,0.5258944661712198,0.5320119542596995,-0.28204161103549186,0.13068181818181818,0.045454545454545456,0.005681818181818182,0.005681818181818182,,,,,
Oracle,deployment,2018-2026_FULL,high_vol_reversal,176,4,0.9375,0.6931818181818182,0.625,0.5852272727272727,0.45454545454545453,0.5654548144367582,1.703289769820972,2.038225055625266,3.435118957661741,0.25352848861463495,0.0,0.0,0.0,0.0,,,,,
